"","gene","len"
"95","SPAC20G4.02c",4.68
"96","SPAC56F8.09",1.423
"97","SPAC6B12.15",1.591
"98","SPSNORNA.11",0.083
"99","SPBC36B7.08c",2.165
"100","SPSNORNA.40",0.208
"101","SPBC336.13c",1.135
"102","SPAC8C9.08",1.09
"103","SPAC890.08",0.645
"104","SPBC337.05c",2.152
"105","SPBP8B7.25",0.954
"106","SPNCRNA.872",2.586
"107","SPNCRNA.72",1.279
"108","SPNCRNA.73",0.422
"109","SPNCRNA.74",0.783
"110","SPCC285.15c",0.583
"111","SPBC337.10c",2.091
"112","SPCC74.05",0.69
"113","SPAC9G1.03c",0.614
"114","SPAC23A1.08c",0.489
"115","SPCC613.06",0.961
"116","SPSNRNA.02",0.187
"117","SPAC1F12.02c",0.755
"118","SPAC26A3.17c",1.325
"119","SPCC830.11c",1.411
"120","SPAC664.04c",0.652
"121","SPBC17G9.07",0.61
"122","SPCC18B5.07c",2.373
"123","SPBC25H2.07",0.845
"124","SPAC26F1.03",1.657
"125","SPAC22H10.07",2.684
"126","SPCC1235.08c",3.109
"127","SPBC14C8.12",1.08
"128","SPBC409.13",1.311
"129","SPBC1778.01c",1.535
"130","SPAC22E12.13c",1.383
"131","SPAC6F12.16c",3.691
"132","SPAC6B12.18",0.641
"133","SPAC17A5.08",1.274
"134","SPAC607.03c",0.655
"135","SPAC1B9.03c",1.424
"136","SPAC29B12.02c",2.953
"137","SPBC11C11.07",1.12
"138","SPAC8F11.08c",1.865
"139","SPBC29A3.02c",1.486
"140","SPNCRNA.1649",0.898
"141","SPNCRNA.20",0.453
"142","SPBC409.05",1.155
"143","SPACUNK4.09",1.156
"144","SPBC4F6.07c",2.251
"145","SPAC12G12.10",1.35
"146","SPAC3H1.03",0.944
"147","SPAC6F6.03c",2.276
"148","SPNCRNA.499",0.128
"149","SPBC32H8.13c",8.11
"150","SPBC1773.07c",1.153
"151","SPAC19A8.04",2.146
"152","SPAC25G10.08",2.527
"153","SPAP27G11.13c",0.426
"154","SPBC19G7.03c",0.494
"155","SPAC4A8.16c",2.947
"156","SPAC17G8.08c",1.324
"157","SPRRNA.02",1.422
"158","SPCC550.06c",0.821
"159","SPBC30D10.05c",0.918
"160","SPAC30D11.12",0.624
"161","SPACUNK4.06c",1.03
"162","SPCC1840.11",0.954
"163","SPBC215.09c",1.624
"164","SPNCRNA.1244",1.051
"165","SPMIT.01",3.905
"166","SPBC19C2.07",1.264
"167","SPAC19B12.01",2.703
"168","SPAC56F8.03",3.571
"169","SPAC1834.01",1.936
"170","SPCC13B11.01",3.463
"171","SPSNRNA.01",0.149
"172","SPAC20H4.02",1.12
"173","SPCC1795.04c",1.433
"174","SPAC630.08c",1.629
"175","SPCC1259.01c",0.66
"176","SPAP8A3.07c",2.07
"177","SPMIT.10",0.225
"178","SPBC530.07c",1.548
"179","SPBC8D2.10c",3.463
"180","SPCC576.08c",0.884
"181","SPBC19F8.08",0.946
"182","SPAC20G8.04c",2.503
"183","SPAC25B8.01",0.856
"184","SPBC405.07",0.601
"185","SPBC3B9.10",1.344
"186","SPAC6F12.15c",2.801
"187","SPAC11E3.07",1.424
"188","SPBC3D6.05",1.895
"189","SPAC23G3.11",3.153
"190","SPAC3A12.13c",1.294
"191","SPAC24H6.10c",1.227
"192","SPAPJ698.02c",1.092
"193","SPAC3H5.12c",0.973
"194","SPBC342.06c",1.297
"195","SPAC56F8.16",3.233
"196","SPAC824.05",3.033
"197","SPBC14F5.04c",1.723
"198","SPNCRNA.854",0.828
"199","SPBC15D4.06",0.91
"200","SPAC1093.05",2.749
"201","SPBC1105.18c",0.939
"202","SPNCRNA.1038",0.663
"203","SPSNORNA.42",0.225
"204","SPBC17D11.04c",2.595
"205","SPCC1919.09",1.385
"206","SPBC3B8.04c",3.347
"207","SPNCRNA.1623",0.359
"208","SPBC16D10.11c",0.692
"209","SPAC23G3.06",2.069
"210","SPNCRNA.865",2.854
"211","SPCC622.12c",2.082
"212","SPBC3B9.08c",1.314
"213","SPCC1223.08c",1.809
"214","SPAC1002.19",1.791
"215","SPBC11C11.09c",0.981
"216","SPAC13G7.11",1.275
"217","SPBC21C3.07c",1.901
"218","SPBC725.15",1.318
"219","SPBC19G7.01c",4.161
"220","SPAC19A8.15",2.323
"221","SPBC17A3.02",1.061
"222","SPBC25B2.05",1.119
"223","SPAC1B3.09c",1.683
"224","SPBC12C2.12c",1.315
"225","SPBC1685.09",0.454
"226","SPNCRNA.688",1.473
"227","SPBP8B7.03c",1.252
"228","SPBC725.06c",3.982
"229","SPCC736.09c",1.088
"230","SPAC24H6.07",0.775
"231","SPBC1683.10c",1.784
"232","SPCC16C4.16c",1.178
"233","SPSNORNA.38",0.145
"234","SPAC25B8.12c",1.884
"235","SPAC2F3.17c",0.591
"236","SPAC22E12.18",1.173
"237","SPBC17G9.11c",3.977
"238","SPAC4A8.09c",1.801
"239","SPAC31G5.03",0.619
"240","SPBP35G2.13c",1.606
"241","SPNCRNA.723",0.868
"242","SPSNORNA.08",0.108
"243","SPBC28F2.10c",1.852
"244","SPBC839.05c",0.929
"245","SPAC959.03c",1.897
"246","SPCC338.14",1.552
"247","SPBC19F5.02c",2.845
"248","SPAC23H3.07c",1.172
"249","SPBC25B2.09c",2.369
"250","SPBC1734.01c",2.268
"251","SPAC637.09",2.207
"252","SPBC31E1.06",3.642
"253","SPNCRNA.827",1.257
"254","SPAC32A11.04c",1.151
"255","SPAC227.05",0.454
"256","SPAC959.10",1.246
"257","SPBC428.15",1.604
"258","SPAC4F8.03",1.313
"259","SPCC645.14c",2.379
"260","SPBC16H5.03c",2.329
"261","SPBC2G2.11",1.872
"262","SPBC30B4.02c",2.556
"263","SPBC1711.05",1.615
"264","SPCP1E11.11",1.95
"265","SPAC4G9.12",1.251
"266","SPBC31F10.03",2.794
"267","SPCC553.07c",1.875
"268","SPAC664.06",1.138
"269","SPBC1703.07",3.248
"270","SPAC26H5.12",3.867
"271","SPAC1486.01",1.271
"272","SPBC2A9.07c",1.711
"273","SPAC13C5.03",2.772
"274","SPNCRNA.722",2.85
"275","SPAC31G5.08",2.322
"276","SPBC25H2.12c",2.216
"277","SPBC25H2.11c",3.793
"278","SPBP16F5.05c",0.784
"279","SPBC1703.03c",2.314
"280","SPAC23G3.12c",3.154
"281","SPCC622.09",1.291
"282","SPAP7G5.02c",2.061
"283","SPAPB1E7.10",0.712
"284","SPCC24B10.21",0.957
"285","SPAC3G9.06",1.881
"286","SPBC3B8.09",1.917
"287","SPAC17A2.03c",2.189
"288","SPAC17H9.14c",1.219
"289","SPBC12D12.08c",0.535
"290","SPAC521.05",0.839
"291","SPBC342.01c",2.592
"292","SPBC8E4.03",1.675
"293","SPCC1739.13",2.248
"294","SPBC4F6.16c",2.123
"295","SPSNORNA.26",0.086
"296","SPAC4D7.05",1.624
"297","SPNCRNA.1517",1.554
"298","SPAC2F7.15",1.376
"299","SPBC1105.12",0.732
"300","SPCC188.06c",2.278
"301","SPAC22E12.17c",2.217
"302","SPCC18B5.02c",1.019
"303","SPCC1020.04c",1.055
"304","SPAC683.02c",1.221
"305","SPAC3H8.10",1.811
"306","SPBC337.08c",2.372
"307","SPBP8B7.16c",2.612
"308","SPBC2D10.15c",1.251
"309","SPNCRNA.785",1.332
"310","SPAC890.05",1.442
"311","SPBC713.04c",2.894
"312","SPAC1556.07",1.176
"313","SPNCRNA.214",1.413
"314","SPBC4F6.04",1.122
"315","SPAC3A12.12",1.333
"316","SPBC15D4.09c",2.038
"317","SPAC1687.09",4.836
"318","SPAC227.10",1.102
"319","SPAC29B12.13",0.507
"320","SPBC342.04",1.835
"321","SPAC105.02c",1.64
"322","SPBC8D2.20c",6.332
"323","SPBC17G9.03c",2.115
"324","SPAC17D4.01",1.84
"325","SPCC16A11.12c",3.11
"326","SPBC3B8.01c",1.889
"327","SPBC19C7.06",2.407
"328","SPCC576.14",1.231
"329","SPAC17G8.06c",2.323
"330","SPBC1289.08",2.071
"331","SPAC11H11.02c",3.106
"332","SPBC29A3.12",0.698
"333","SPAC4G9.10",1.752
"334","SPBC1198.02",1.314
"335","SPCC965.07c",1.767
"336","SPBC3B9.13c",0.727
"337","SPATRNASER.03",0.097
"338","SPATRNAMET.03",0.072
"339","SPAC227.17c",1.109
"340","SPAC17C9.02c",1.408
"341","SPAC17C9.01c",2.508
"342","SPBC21B10.08c",1.364
"343","SPAC644.08",1.21
"344","SPSNORNA.39",0.164
"345","SPBC14C8.02",1.937
"346","SPBC1347.09",1.698
"347","SPBC18H10.02",2.684
"348","SPAC4G9.02",1.42
"349","SPBC17D1.03c",1.379
"350","SPBC428.02c",1.637
"351","SPBC16H5.07c",3.529
"352","SPBC1703.15c",2.45
"353","SPAC15A10.10",3.479
"354","SPBC839.15c",1.553
"355","SPBC4B4.05",0.677
"356","SPAC20G4.06c",0.843
"357","SPAC1565.08",3.099
"358","SPBC1A4.08c",2.237
"359","SPCC364.04c",2.684
"360","SPBC6B1.07",2.994
"361","SPBC713.08",1.663
"362","SPCC417.08",3.353
"363","SPBC31F10.16",2.569
"364","SPAC1F3.04c",1.214
"365","SPAC5D6.01",0.815
"366","SPBC16H5.10c",2.543
"367","SPAC644.15",0.823
"368","SPAC521.03",1.195
"369","SPCC794.09c",1.569
"370","SPAC926.09c",6.927
"371","SPCC24B10.06",1.656
"372","SPAC1071.02",3.582
"373","SPAC4F8.10c",0.89
"374","SPAP27G11.03",1.498
"375","SPAC1A6.05c",2.079
"376","SPAPB2B4.05",2.024
"377","SPBC19C2.13c",1.372
"378","SPAC3G9.03",0.691
"379","SPAC8C9.15c",2.383
"380","SPAC4H3.14c",1.393
"381","SPCC285.11",2.341
"382","SPBP8B7.12c",1.096
"383","SPSNORNA.27",0.084
"384","SPBC146.03c",4.426
"385","SPBC646.14c",2.172
"386","SPCC1259.06",1.391
"387","SPAC6B12.12",2.292
"388","SPCC622.18",0.893
"389","SPBC2F12.05c",4.591
"390","SPNCRNA.808",0.29
"391","SPNCRNA.507",0.158
"392","SPCC1753.05",2.753
"393","SPAC3C7.04",3.06
"394","SPMIT.11",0.747
"395","SPAC12B10.07",2.072
"396","SPAC23H4.03c",1.211
"397","SPMITTRNATRP.01",0.072
"398","SPAC8C9.10c",1.308
"399","SPAC959.02",1.606
"400","SPBC947.07",1.214
"401","SPAC694.05c",0.476
"402","SPBC776.02c",2.212
"403","SPCC663.10",2.812
"404","SPBC16C6.13c",3.026
"405","SPAC6F6.04c",2.777
"406","SPBC16C6.06",4.653
"407","SPNCRNA.1394",0.429
"408","SPSNORNA.35",0.167
"409","SPAC57A7.07c",1.392
"410","SPBC215.03c",2.56
"411","SPNCRNA.510",0.102
"412","SPNCRNA.942",0.287
"413","SPBC1773.01",2.34
"414","SPBC16G5.01",1.171
"415","SPBC146.12",2.049
"416","SPBC460.02c",0.948
"417","SPCC584.01c",3.42
"418","SPAC1D4.04",1.881
"419","SPBC21B10.10",1.137
"420","SPAC821.10c",0.763
"421","SPAC3H5.10",0.692
"422","SPAC13A11.04c",2.201
"423","SPBC1539.03c",1.604
"424","SPBC3F6.03",2.305
"425","SPBC1709.03",1.565
"426","SPBC13G1.03c",1.335
"427","SPBC106.18",1.042
"428","SPAC6G10.04c",1.345
"429","SPBC13G1.10c",6.025
"430","SPAC10F6.17c",2
"431","SPBC1604.06c",1.607
"432","SPBC1289.07c",1.295
"433","SPAC4F10.10c",2.095
"434","SPBC6B1.06c",2.771
"435","SPNCRNA.668",0.697
"436","SPBC405.06",2.391
"437","SPMIT.09",0.147
"438","SPBC215.02",1.778
"439","SPAC12B10.16c",2.201
"440","SPBC16C6.05",0.912
"441","SPNCRNA.1511",0.364
"442","SPBC3B9.02c",1.408
"443","SPAC1556.04c",2.019
"444","SPAC6F6.05",0.955
"445","SPNCRNA.1444",0.322
"446","SPBC29B5.04c",2.34
"447","SPAC1565.07c",4.681
"448","SPMITTRNAMET.02",0.073
"449","SPBC17D1.01",2.935
"450","SPBC800.08",1.925
"451","SPAC31G5.05c",1.142
"452","SPAC15F9.02",1.734
"453","SPMITTRNAILE.02",0.072
"454","SPMITTRNASER.02",0.082
"455","SPAC23A1.03",0.973
"456","SPAC8F11.04",2.548
"457","SPAC20G8.02",2.445
"458","SPCC1682.16",2.058
"459","SPAC1F12.10c",1.011
"460","SPCC830.09c",2.149
"461","SPAC23H4.09",1.322
"462","SPBC16H5.09c",1.561
"463","SPBC244.02c",1.728
"464","SPAC22E12.11c",3.895
"465","SPAC9G1.05",2.504
"466","SPBC146.08c",0.963
"467","SPAC17A5.13",0.872
"468","SPAC1486.10",2.687
"469","SPBC947.13",1.949
"470","SPBC1271.11",1.682
"471","SPBC83.08",1.8
"472","SPBC11B10.10c",1.266
"473","SPBC32F12.11",1.518
"474","SPBC1198.08",1.788
"475","SPBC32F12.02",1.549
"476","SPAC3H8.04",1.681
"477","SPNCRNA.488",0.374
"478","SPCC4B3.12",2.64
"479","SPBC16C6.02c",9.2
"480","SPAC3F10.18c",0.301
"481","SPBC19C7.10",2.012
"482","SPBC19C7.11",2.854
"483","SPBC1734.04",2.982
"484","SPAC1420.02c",2.001
"485","SPAC6F12.13c",1.578
"486","SPBC23G7.14",1.637
"487","SPAC977.12",1.364
"488","SPAC1093.02",1.199
"489","SPAC4D7.09",2.019
"490","SPCC24B10.16c",2.781
"491","SPBC725.09c",1.552
"492","SPAC3G6.01",5.085
"493","SPAPB17E12.05",0.561
"494","SPAC1D4.01",1.876
"495","SPAC13F5.02c",1.387
"496","SPAC30D11.11",2.106
"497","SPAC688.07c",3.387
"498","SPCC1840.03",3.767
"499","SPAC3A12.03c",1.141
"500","SPCC1450.04",1.118
"501","SPCC1442.09",1.912
"502","SPAPB1E7.01c",1.345
"503","SPBC119.06",1.503
"504","SPBP8B7.06",0.477
"505","SPAC25H1.04",0.817
"506","SPAC13G6.09",1.756
"507","SPAC11H11.06",1.759
"508","SPAC29B12.01",5.15
"509","SPCC330.07c",2.357
"510","SPBC660.06",1.317
"511","SPAC1F12.08",1.47
"512","SPBC1734.10c",2.849
"513","SPNCRNA.498",0.1
"514","SPBC27B12.13",1.72
"515","SPAC17H9.05",3.346
"516","SPBC17D11.05",3.16
"517","SPCC132.01c",3.382
"518","SPNCRNA.1408",2.914
"519","SPCC1442.03",2.263
"520","SPSNORNA.10",0.083
"521","SPNCRNA.1406",1.158
"522","SPBC19G7.07c",4.222
"523","SPBC2A9.09",1.004
"524","SPBC27B12.09c",1.511
"525","SPBC83.02c",0.42
"526","SPCC330.06c",0.781
"527","SPCC736.03c",1.785
"528","SPBC215.06c",0.952
"529","SPAC12G12.04",2.315
"530","SPNCRNA.520",0.578
"531","SPAC23C11.03",2.078
"532","SPAC1B1.03c",2.905
"533","SPNCRNA.1096",1.662
"534","SPAP8A3.12c",3.959
"535","SPBC3E7.02c",0.854
"536","SPCC1827.01c",2.317
"537","SPAC29A4.03c",1.404
"538","SPAC17C9.08",1.477
"539","SPBC31E1.03",1.218
"540","SPAC7D4.07c",0.54
"541","SPBC336.02",1.198
"542","SPMIT.02",1.155
"543","SPMIT.04",0.819
"544","SPNCRNA.1490",0.285
"545","SPNCRNA.514",0.101
"546","SPBC365.11",1.569
"547","SPBC660.16",2.95
"548","SPBC1815.01",1.494
"549","SPBC12C2.11",2.872
"550","SPBC776.14",3.891
"551","SPAC13G6.04",0.798
"552","SPAC57A10.10c",1.185
"553","SPAC13G7.08c",1.703
"554","SPBC1604.07",1.675
"555","SPAC13G7.01c",2.585
"556","SPAC17A5.14",4.296
"557","SPAC22F3.08c",1.778
"558","SPAC22A12.16",1.724
"559","SPBC16C6.08c",1.252
"560","SPBC1604.11",0.902
"561","SPBC18H10.13",0.625
"562","SPAC57A7.12",2.018
"563","SPAC694.02",5.465
"564","SPAC24C9.11",2.695
"565","SPBC23E6.06c",1.114
"566","SPCC1672.05c",1.601
"567","SPAC1071.07c",0.767
"568","SPAC18G6.07c",1.534
"569","SPBC16A3.12c",1.837
"570","SPAC23C11.09",3.091
"571","SPAC12G12.01c",3.357
"572","SPBC18E5.02c",2.065
"573","SPAC26F1.07",1.324
"574","SPAC26A3.09c",4.294
"575","SPAC15E1.03",0.661
"576","SPBC215.10",1.291
"577","SPAC16A10.02",2.565
"578","SPBC3D6.12",2.938
"579","SPBC1215.01",4.281
"580","SPCC1281.06c",2.361
"581","SPBC4F6.14",2.264
"582","SPAC22E12.03c",1.121
"583","SPAC1142.01",2.353
"584","SPCC663.04",0.593
"585","SPCC338.06c",1.248
"586","SPAC664.11",2.332
"587","SPAPB1A10.15",1.342
"588","SPBC29A10.15",2.401
"589","SPAC222.14c",2.94
"590","SPAC1006.08",1.653
"591","SPAC6F12.06",2.195
"592","SPCC777.06c",1.603
"593","SPBC887.08",0.803
"594","SPAC23C4.07",2.817
"595","SPAC1006.02",1.44
"596","SPAC3H1.02c",3.464
"597","SPAC17G6.08",2.231
"598","SPCC364.06",2.163
"599","SPAC24C9.04",1.188
"600","SPAC8C9.17c",1.523
"601","SPSNORNA.52",0.273
"602","SPAC20G8.05c",3.766
"603","SPAP27G11.10c",5.221
"604","SPBC337.02c",1.22
"605","SPAC1851.02",1.148
"606","SPAC22H10.12c",1.838
"607","SPNCRNA.242",0.335
"608","SPCC4B3.03c",2.415
"609","SPAC1F7.02c",2.183
"610","SPAC56F8.11",1.496
"611","SPAC1F8.07c",1.88
"612","SPAC22F8.09",1.553
"613","SPCP1E11.09c",0.657
"614","SPAC8C9.07",0.663
"615","SPAC57A7.04c",4.616
"616","SPSNORNA.45",0.143
"617","SPAC27E2.03c",2.006
"618","SPBC17G9.10",0.696
"619","SPBC18E5.14c",0.384
"620","SPCC1494.02c",1.121
"621","SPAC4D7.13",2.217
"622","SPBC24C6.02",2.226
"623","SPBC3B8.03",1.648
"624","SPBC12D12.06",1.556
"625","SPAC222.09",2.361
"626","SPBC29B5.03c",0.527
"627","SPAC3C7.08c",3.464
"628","SPAC959.08",0.676
"629","SPBC1289.06c",1.871
"630","SPNCRNA.1627",1.108
"631","SPCC330.05c",1.138
"632","SPAC23C11.01",2.808
"633","SPBC1289.03c",1.244
"634","SPAC1834.08",5.535
"635","SPBC56F2.11",2.567
"636","SPBP23A10.08",2.018
"637","SPAC1834.06c",1.544
"638","SPBC1685.14c",3.173
"639","SPCC576.11",0.751
"640","SPBC1718.06",2.99
"641","SPAC323.02c",1.173
"642","SPBC1709.08",4.935
"643","SPAC18B11.10",2.56
"644","SPAC6G10.10c",1.325
"645","SPBC776.11",0.656
"646","SPBC8D2.18c",1.574
"647","SPAC1002.13c",2.013
"648","SPBC30D10.13c",1.703
"649","SPAC110.04c",3.101
"650","SPAC18G6.14c",0.807
"651","SPAP8A3.03",1.672
"652","SPAC1002.09c",2.398
"653","SPCC794.12c",2.08
"654","SPBC17D11.07c",3.334
"655","SPAC23A1.10",1.451
"656","SPCC790.02",3.402
"657","SPAC19G12.10c",3.576
"658","SPAC1F5.02",1.793
"659","SPNCRNA.1625",3.404
"660","SPAC1F7.01c",4.413
"661","SPBC1A4.06c",1.642
"662","SPAC1805.11c",0.706
"663","SPAC12G12.07c",1.517
"664","SPAC22H12.02",2.552
"665","SPBC543.10",1.593
"666","SPNCRNA.254",1.066
"667","SPNCRNA.1032",0.704
"668","SPAC16E8.17c",1.461
"669","SPAC56E4.04c",7.844
"670","SPCC550.14",4.614
"671","SPCC737.07c",2.648
"672","SPCC965.03",1.846
"673","SPAC3C7.14c",0.957
"674","SPBC1105.16c",0.893
"675","SPCC576.09",0.514
"676","SPBC1685.11",1.551
"677","SPAC806.02c",2.133
"678","SPAC977.16c",2.422
"679","SPAC8C9.14",3.176
"680","SPBC428.01c",3.08
"681","SPAC890.04c",2.613
"682","SPCC4G3.18",2.804
"683","SPAC323.05c",2.135
"684","SPBC1683.04",3.132
"685","SPNCRNA.304",2.585
"686","SPRRNA.52",0.165
"687","SPNCRNA.1581",0.743
"688","SPNCRNA.1042",1.718
"689","SPBC646.05c",1.483
"690","SPMIT.03",0.753
"691","SPCC24B10.22",3.917
"692","SPAPB17E12.03",2.212
"693","SPCC1494.05c",3.645
"694","SPAC6C3.06c",4.736
"695","SPAC1687.21",1.394
"696","SPAC23C4.13",1.06
"697","SPAC222.16c",1.68
"698","SPBC27B12.02",0.852
"699","SPAC22H12.05c",2.798
"700","SPBC16H5.11c",2.41
"701","SPBC685.07c",0.726
"702","SPBC11C11.03",2.208
"703","SPAC4C5.01",1.547
"704","SPAC25B8.11",2.705
"705","SPBP23A10.11c",2.67
"706","SPCC4B3.04c",4.783
"707","SPBC1289.11",1.595
"708","SPBC1289.12",1.969
"709","SPNCRNA.885",1.691
"710","SPBC336.10c",0.65
"711","SPAC3F10.17",1.749
"712","SPBC83.17",0.72
"713","SPAC19A8.14",0.858
"714","SPNCRNA.1603",1.433
"715","SPAC824.06",1.579
"716","SPCC794.10",2.049
"717","SPBC16E9.11c",3.165
"718","SPAC644.12",2.714
"719","SPAC4D7.10c",2.475
"720","SPAC6G9.11",2.21
"721","SPBC36.07",3.978
"722","SPBC1709.10c",0.949
"723","SPBC31F10.06c",1.275
"724","SPBC365.09c",1.901
"725","SPAP8A3.04c",0.72
"726","SPAC3A11.07",2.504
"727","SPACUNK4.12c",3.136
"728","SPCC364.07",2.29
"729","SPCC737.06c",1.606
"730","SPAPB1E7.12",0.872
"731","SPAC16A10.06c",1.405
"732","SPMIT.07",0.774
"733","SPAC1F7.13c",0.874
"734","SPAPB18E9.01",1.956
"735","SPAPYUG7.05",1.229
"736","SPAC25A8.01c",3.682
"737","SPAC513.06c",5.534
"738","SPAC20G8.09c",3.374
"739","SPAC17D4.02",2.105
"740","SPAC1006.07",1.546
"741","SPAC21E11.06",2.097
"742","SPAC1142.05",1.28
"743","SPAC11E3.09",1.534
"744","SPCC895.09c",5.741
"745","SPNCRNA.1618",1.323
"746","SPBC418.01c",1.93
"747","SPAC22A12.10",4.593
"748","SPBC577.14c",1.217
"749","SPAPB1E7.03",2.092
"750","SPAC27D7.06",1.131
"751","SPAC22A12.15c",2.805
"752","SPCC18B5.06",1.776
"753","SPAC222.17",0.72
"754","SPCC1753.04",1.469
"755","SPBC2A9.06c",1.043
"756","SPBPJ4664.04",4.019
"757","SPBC660.15",4.393
"758","SPBC15C4.01c",1.504
"759","SPCC16C4.19",1.449
"760","SPNCRNA.1461",0.862
"761","SPAC977.10",2.913
"762","SPAC1565.04c",1.319
"763","SPCC1183.08c",0.834
"764","SPAC6F12.07",1.267
"765","SPBC13A2.02",2.824
"766","SPAPB24D3.03",1.537
"767","SPNCRNA.1602",1.819
"768","SPBC651.02",1.499
"769","SPNCRNA.982",0.916
"770","SPAC644.09",1.531
"771","SPAC26H5.09c",1.815
"772","SPBC16G5.02c",1.371
"773","SPBC1711.15c",1.288
"774","SPBC14F5.01",1.559
"775","SPAC589.09",2.437
"776","SPBC1A4.02c",1.335
"777","SPBC12C2.08",2.96
"778","SPCC1795.11",2.928
"779","SPAC27D7.14c",3.324
"780","SPBC2A9.05c",1.783
"781","SPBC1D7.01",1.39
"782","SPBC3E7.07c",1.043
"783","SPAC664.05",0.908
"784","SPBC4F6.05c",1.697
"785","SPAC16E8.07c",2.702
"786","SPAC23D3.02",1.272
"787","SPBC24C6.04",2.067
"788","SPBC211.04c",2.968
"789","SPBC2F12.08c",1.597
"790","SPAC23D3.04c",1.81
"791","SPAC821.11",1.745
"792","SPAC30C2.06c",1.778
"793","SPNCRNA.907",0.392
"794","SPBC32H8.04c",2.859
"795","SPAC30C2.03",0.825
"796","SPNCRNA.1532",1.542
"797","SPAC22A12.07c",3.182
"798","SPBC839.12",1.22
"799","SPBC1604.16c",0.779
"800","SPCC1672.03c",2.51
"801","SPCC1620.06c",2.329
"802","SPBC3E7.11c",1.561
"803","SPCC11E10.01",2.932
"804","SPCC162.07",2.976
"805","SPACUNK4.08",2.915
"806","SPBC337.07c",2.033
"807","SPAC144.03",1.795
"808","SPBC106.04",3.014
"809","SPAC9.07c",1.383
"810","SPNCRNA.946",1.737
"811","SPAC6F6.07c",0.862
"812","SPBC337.14",0.974
"813","SPAC4G8.02c",0.675
"814","SPBC30D10.03c",1.652
"815","SPBC26H8.02c",2.049
"816","SPAP8A3.08",1.881
"817","SPCC965.11c",4.736
"818","SPBC1685.10",0.712
"819","SPAC17A2.04c",1.607
"820","SPAC12B10.14c",2.157
"821","SPBC14F5.03c",3.876
"822","SPAC23D3.06c",4.49
"823","SPCC18.14c",2.471
"824","SPBC28F2.12",5.625
"825","SPCC736.06",4.262
